"2019-05-07 11:22:39.779","Method constructor from class StandardSeat was called."
"2019-05-07 11:22:39.786","Method constructor from class StandardSeat was called."
"2019-05-07 11:22:39.791","Method constructor from class StandardSeat was called."
"2019-05-07 11:22:39.796","Method constructor from class StandardSeat was called."
"2019-05-07 11:22:39.802","Method constructor from class StandardSeat was called."
"2019-05-07 11:22:39.809","Method constructor from class Loge was called."
"2019-05-07 11:22:39.814","Method constructor from class Loge was called."
"2019-05-07 11:22:39.819","Method constructor from class Loge was called."
"2019-05-07 11:22:39.826","Method constructor from class Loge was called."
"2019-05-07 11:22:39.833","Method constructor from class Loge was called."
"2019-05-07 11:22:39.839","Method constructor from class Loge was called."
"2019-05-07 11:22:39.845","Method constructor from class Loge was called."
"2019-05-07 11:22:39.852","Method constructor from class Loge was called."
"2019-05-07 11:23:13.049","Method Constructor from class Client was called."
"2019-05-07 11:23:13.056","Method Constructor from class Client was called."
"2019-05-07 11:23:13.061","Method Constructor from class Client was called."
"2019-05-07 11:23:13.07","Method constructor from class StandardSeat was called."
"2019-05-07 11:23:13.077","Method constructor from class StandardSeat was called."
"2019-05-07 11:23:13.083","Method constructor from class StandardSeat was called."
"2019-05-07 11:23:13.093","Method constructor from class StandardSeat was called."
"2019-05-07 11:23:13.098","Method constructor from class StandardSeat was called."
"2019-05-07 11:23:13.103","Method constructor from class StandardSeat was called."
"2019-05-07 11:23:13.109","Method constructor from class StandardSeat was called."
"2019-05-07 11:23:13.115","Method constructor from class StandardSeat was called."
"2019-05-07 11:23:13.12","Method constructor from class StandardSeat was called."
"2019-05-07 11:23:13.125","Method constructor from class StandardSeat was called."
"2019-05-07 11:23:13.132","Method constructor from class StandardSeat was called."
"2019-05-07 11:23:13.137","Method constructor from class StandardSeat was called."
"2019-05-07 11:23:13.147","Method constructor from class Loge was called."
"2019-05-07 11:23:13.154","Method constructor from class Loge was called."
"2019-05-07 11:23:13.161","Method constructor from class Loge was called."
"2019-05-07 11:23:13.169","Method constructor from class Loge was called."
"2019-05-07 11:23:13.173","Method constructor from class Loge was called."
"2019-05-07 11:23:13.182","Method constructor from class Loge was called."
"2019-05-07 11:23:13.191","Method constructor from class Loge was called."
"2019-05-07 11:23:13.197","Method constructor from class Loge was called."
"2019-05-07 11:25:17.249","Method Constructor from class Client was called."
"2019-05-07 11:25:17.254","Method Constructor from class Client was called."
"2019-05-07 11:25:17.262","Method Constructor from class Client was called."
"2019-05-07 11:25:17.269","Method constructor from class StandardSeat was called."
"2019-05-07 11:25:17.276","Method constructor from class StandardSeat was called."
"2019-05-07 11:25:17.282","Method constructor from class StandardSeat was called."
"2019-05-07 11:25:17.287","Method constructor from class StandardSeat was called."
"2019-05-07 11:25:17.292","Method constructor from class StandardSeat was called."
"2019-05-07 11:25:17.296","Method constructor from class StandardSeat was called."
"2019-05-07 11:25:17.3","Method constructor from class StandardSeat was called."
"2019-05-07 11:25:17.307","Method constructor from class StandardSeat was called."
"2019-05-07 11:25:17.313","Method constructor from class StandardSeat was called."
"2019-05-07 11:25:17.318","Method constructor from class StandardSeat was called."
"2019-05-07 11:25:17.324","Method constructor from class StandardSeat was called."
"2019-05-07 11:25:17.329","Method constructor from class StandardSeat was called."
"2019-05-07 11:25:17.336","Method constructor from class Loge was called."
"2019-05-07 11:25:17.345","Method constructor from class Loge was called."
"2019-05-07 11:25:17.35","Method constructor from class Loge was called."
"2019-05-07 11:25:17.352","Method constructor from class Loge was called."
"2019-05-07 11:25:17.357","Method constructor from class Loge was called."
"2019-05-07 11:25:17.366","Method constructor from class Loge was called."
"2019-05-07 11:25:17.371","Method constructor from class Loge was called."
"2019-05-07 11:25:17.376","Method constructor from class Loge was called."
"2019-05-07 11:26:06.522","Method Constructor from class Client was called."
"2019-05-07 11:26:06.531","Method Constructor from class Client was called."
"2019-05-07 11:26:06.537","Method Constructor from class Client was called."
"2019-05-07 11:26:06.545","Method constructor from class StandardSeat was called."
"2019-05-07 11:26:06.551","Method constructor from class StandardSeat was called."
"2019-05-07 11:26:06.557","Method constructor from class StandardSeat was called."
"2019-05-07 11:26:06.563","Method constructor from class StandardSeat was called."
"2019-05-07 11:26:06.566","Method constructor from class StandardSeat was called."
"2019-05-07 11:26:06.579","Method constructor from class StandardSeat was called."
"2019-05-07 11:26:06.583","Method constructor from class StandardSeat was called."
"2019-05-07 11:26:06.593","Method constructor from class StandardSeat was called."
